"Title","Caption","Copyright"
"State banquet commencing the Golden Jubilee visit in Kenya","His Highness the Aga Khan addresses the gathering after receiving the Kenyan's highest medal of honour, the Chief of the Order of the Golden Heart of Kenya, by President Kibaki at the State House, Nairobi. ","AKDN / Gary Otte"
"Inauguration of the Faculty of Health Sciences of the Aga Khan University, Nairobi","His Highness the Aga Khan speaking at the launch of the Faculty of Health Sciences of the Aga Khan University.","AKDN/Gary Otte"
"Inauguration of the Faculty of Health Sciences of the Aga Khan University, Nairobi","President of the Aga Khan University Firoz Rasul speaking at the inauguration of the Faculty of Health Sciences of the Aga Khan University, Nairobi, Kenya. ","AKDN / Gary Otte"
"Opening ceremony of the IPI World Congress and 54th general assembly","His Highness the Aga Khan speaking at the opening ceremony of the International Press Institute (IPI) Conference in Kenya. ","AKDN / Aziz Islamshah"
"Inauguration of Al-Azhar Park","His Highness the Aga Khan speaking at the opening ceremony of Al-Azhar Park. ","AKDN / Gary Otte"
"Conference on Afghanistan (London, UK) ","His Highness the Aga Khan.","AKDN / Gary Otte"
"Splendori a Corte exhibition","His Highness the Aga Khan and Mr. Elvio Ubaldi, Mayor of Parma, inaugurated ""Splendori a Corte"", an exhibition of rare art and manuscripts from the Aga Khan Museum collections being shown at the Palazzo della Pilotta in Parma.","Roberto Ricci"
"Speech by Foreign Minister Steinmeier at the presentation of the Tutzing Evangelical Academy Tolerance Prize to the Aga Khan","""We honour an exceptional man, we honour a huge friend of mankind, we honour a courageous visionary, and we honour a person building bridges between societies,"" said His Excellency Dr Frank-Walter Steinmeier, Germany's Minister for Foreign Affairs, during his laudatory remarks.","AKDN/Zahur Ramji"
"""Spirit and Life"" exhibition (London, UK)   ","His Highness the Aga Khan speaking at the inauguration of the Spirit & Life Exhibition, 12 July 2007.","AKDN/Zahir Daya"
"Inauguration of the French Medical Institute for Children ","",""
"Inauguration of the French Medical Institute for Children ","His Highness the Aga Khan addressing the guests at the inauguration ceremony for the French Medical Institute for Children (FMIC) in Kabul. ","AKDN / Gary Otte"
"Inauguration of the French Medical Institute for Children ","",""
"American University in Cairo","His Highness the Aga Khan delivering the commencement address at the American University in Cairo.","AKDN/Gary Otte"
"Graduation ceremony at the Institut d'Etudes Politiques de Paris (Sciences Po)","His Highness the Aga Khan speaking at Graduation Ceremony of the Masters of Public Affairs (MPA) Programme at the Institut d'Etudes Politiques de Paris (Sciences Po).","AKDN/Gary Otte"
"Graduation ceremony at the School of International and Public Affairs, USA","His Highness the Aga Khan delivering the Columbia University School of International and Public Affairs’ Commencement Address, at the Riverside Church, New York.",""
"Opening of the Kabul Serena hotel","His Highness the Aga Khan speaking at the opening ceremony of the Kabul Serena Hotel.","AKDN / Gary Otte"
"Foundation ceremony of the Delegation of the Ismaili Imamat ","His Highness the Aga Khan is presented with the key to the City of Ottawa by His Worship the Mayor of Ottawa, Robert Chiarelli.","AKDN/Zahur Ramji"
"Foundation ceremony of the Delegation of the Ismaili Imamat ","His Highness the Aga Khan and Her Excellency the Right Honourable Adrienne Clarkson, Governor General of Canada , after the unveiling of the plaque of the Delegation of the Ismaili Imamat. Looking on is His Worship the Mayor of Ottawa, Robert Chiarelli.","AKDN/Zahur Ramji"
"Carnegie Medal for Philanthropy ","His Highness the Aga Khan gives his acceptance speech upon receiving the Andrew Carnegie Medal, as Sally Magnusson, BBC presenter, and Mary Robinson, former President of Ireland and UN High Commissioner for Human Rights look on.","AKDN/Gary Otte"
"Alcan Award Prize awarded to AKPBS","Princess Zahra Aga Khan addresses the gathering at the Alcan Prize for Sustainability ceremony. ","AKDN / Gary Otte"
"Speech by His Excellency Professor Nadiri, Co-Chair of the Steering Committee, at The Enabling Environment Conference, Kabul","His Excellency Professor Nadiri, Co-Chair of the Steering Committee, speaking at The Enabling Environment Conference. ","AKDN / Gary Otte"
"Commonwealth Press Union Conference in Cape Town, South Africa ","His Highness the Aga Khan delivering a speech at the Commonwealth Press Union Conference held in Cape Town. ","AKDN / Gary Otte"
